PARÂMETRO,VALOR
Data execução,2025-10-29 20:49:03
Total pontos,375
Distância total (km),3092.11
Tempo total (min),5234.62
Custo total (R$),6880.00
Número de pousos,152
Dias utilizados,7
Fitness final,11403.46
Viabilidade,SIM
