CEP inicial,Latitude inicial,Longitude inicial,Dia do vôo,Hora inicial,Velocidade,CEP final,Latitude final,Longitude final,Pouso,Hora final
82821020,-25.4233146347775,-49.2160678044742,1,06:00:00,96,81460235,-25.5296041641745,-49.3384583258202,SIM,06:12:00
81460235,-25.5296041641745,-49.3384583258202,1,06:13:00,96,81320290,-25.4748252660661,-49.3107362306741,SIM,06:16:00
81320290,-25.4748252660661,-49.3107362306741,1,06:17:00,96,82310380,-25.4271679351543,-49.3574755107166,SIM,06:21:00
82310380,-25.4271679351543,-49.3574755107166,1,06:22:00,96,81830300,-25.5229877082695,-49.2642839884632,SIM,06:30:00
81830300,-25.5229877082695,-49.2642839884632,1,06:31:00,96,81560250,-25.4891353622078,-49.2181798796427,SIM,06:34:00
81560250,-25.4891353622078,-49.2181798796427,1,06:35:00,96,81130270,-25.5076616583274,-49.3009496047833,SIM,06:41:00
81130270,-25.5076616583274,-49.3009496047833,1,06:42:00,96,82100440,-25.3942804783177,-49.2932765649519,SIM,06:49:00
82100440,-25.3942804783177,-49.2932765649519,1,06:50:00,96,81200030,-25.4339218572309,-49.3305021428569,SIM,06:54:00
81200030,-25.4339218572309,-49.3305021428569,1,06:55:00,96,81260210,-25.4862514891775,-49.350391101116,SIM,06:59:00
81260210,-25.4862514891775,-49.350391101116,1,07:00:00,96,81260430,-25.4650355019742,-49.3605952475877,SIM,07:01:00
81260430,-25.4650355019742,-49.3605952475877,1,07:02:00,96,81480050,-25.5639557671639,-49.3123860165859,SIM,07:09:00
81480050,-25.5639557671639,-49.3123860165859,1,07:10:00,96,81452040,-25.4998370213564,-49.3545044201704,SIM,07:15:00
81452040,-25.4998370213564,-49.3545044201704,1,07:16:00,96,80820520,-25.4127105464884,-49.2963300390619,SIM,07:22:00
80820520,-25.4127105464884,-49.2963300390619,1,07:23:00,36,81710380,-25.4967925893433,-49.2594143510465,SIM,07:38:00
81710380,-25.4967925893433,-49.2594143510465,1,07:39:00,96,81670110,-25.4977016024349,-49.2505578410785,SIM,07:39:00
81670110,-25.4977016024349,-49.2505578410785,1,07:40:00,96,82015100,-25.4177303741766,-49.3254408265132,SIM,07:47:00
82015100,-25.4177303741766,-49.3254408265132,1,07:48:00,96,82930390,-25.4608672106041,-49.2047594214569,SIM,07:55:00
82930390,-25.4608672106041,-49.2047594214569,1,07:56:00,96,82820460,-25.4179465264684,-49.2222826851176,SIM,07:59:00
82820460,-25.4179465264684,-49.2222826851176,1,08:00:00,96,81560570,-25.4943561601417,-49.2107486004445,SIM,08:05:00
81560570,-25.4943561601417,-49.2107486004445,1,08:06:00,96,82710330,-25.3530998572423,-49.2583428932106,SIM,08:15:00
82710330,-25.3530998572423,-49.2583428932106,1,08:16:00,96,81590270,-25.4844592157371,-49.203473764438,SIM,08:25:00
