CEP inicial,Latitude inicial,Longitude inicial,Dia do vôo,Hora inicial,Velocidade,CEP final,Latitude final,Longitude final,Pouso,Hora final
82821020,-25.4233146347775,-49.2160678044742,1,06:00:00,96,81020420,-25.4920196819718,-49.2840872729491,SIM,06:07:00
81020420,-25.4920196819718,-49.2840872729491,1,06:08:00,96,80030010,-25.424164,-49.266866,SIM,06:12:00
80030010,-25.424164,-49.266866,1,06:13:00,96,81260160,-25.488209,-49.348703,SIM,06:21:00
81260160,-25.488209,-49.348703,1,06:22:00,96,82415070,-25.3666350000001,-49.3367376666649,SIM,06:29:00
82415070,-25.3666350000001,-49.3367376666649,1,06:30:00,96,81850650,-25.5414905884625,-49.2439315883873,SIM,06:43:00
81850650,-25.5414905884625,-49.2439315883873,1,06:44:00,96,81010170,-25.4783570614136,-49.2757205974116,SIM,06:48:00
81010170,-25.4783570614136,-49.2757205974116,1,06:49:00,96,81220170,-25.4569440522711,-49.3221956960987,SIM,06:52:00
81220170,-25.4569440522711,-49.3221956960987,1,06:53:00,96,81590568,-25.4865484092882,-49.1981543961654,SIM,07:00:00
81590568,-25.4865484092882,-49.1981543961654,1,07:01:00,96,81570092,-25.47733771481,-49.2394309559741,SIM,07:04:00
81570092,-25.47733771481,-49.2394309559741,1,07:05:00,96,80620340,-25.4540745011999,-49.2732563508827,SIM,07:07:00
80620340,-25.4540745011999,-49.2732563508827,1,07:08:00,96,81510040,-25.4602953492636,-49.2465827083158,SIM,07:09:00
81510040,-25.4602953492636,-49.2465827083158,1,07:10:00,96,82990150,-25.4599432722975,-49.1940915354714,SIM,07:12:00
82990150,-25.4599432722975,-49.1940915354714,1,07:13:00,96,81590578,-25.4926040000053,-49.2000059999854,SIM,07:15:00
81590578,-25.4926040000053,-49.2000059999854,1,07:16:00,36,81265330,-25.4702238422545,-49.3713250851996,SIM,08:01:00
81265330,-25.4702238422545,-49.3713250851996,1,08:02:00,96,81570010,-25.4740384750357,-49.2379956248079,SIM,08:09:00
81570010,-25.4740384750357,-49.2379956248079,1,08:10:00,96,81850712,-25.5293962610013,-49.2571259563704,SIM,08:14:00
81850712,-25.5293962610013,-49.2571259563704,1,08:15:00,96,81460239,-25.5325141725804,-49.3365793791746,SIM,08:20:00
