PARÂMETRO,VALOR
Data execução,2025-10-24 23:15:07
Total pontos,375
Distância total (km),3188.14
Tempo total (min),5399.10
Custo total (R$),7280.00
Número de pousos,158
Dias utilizados,7
Fitness final,16819.91
Viabilidade,SIM
