PARÂMETRO,VALOR
Data execução,2025-10-29 22:08:29
Total pontos,375
Distância total (km),3324.22
Tempo total (min),2555.77
Custo total (R$),2960.00
Número de pousos,68
Dias utilizados,4
Fitness final,5215.58
Viabilidade,SIM
