PARÂMETRO,VALOR
Data execução,2025-10-29 22:13:46
Total pontos,375
Distância total (km),11184.80
Tempo total (min),8523.25
Custo total (R$),3280.00
Número de pousos,76
Dias utilizados,4
Fitness final,4132.33
Viabilidade,SIM
