PARÂMETRO,VALOR
Data execução,2025-10-29 20:42:41
Total pontos,375
Distância total (km),3097.64
Tempo total (min),5305.42
Custo total (R$),7360.00
Número de pousos,158
Dias utilizados,7
Fitness final,11890.54
Viabilidade,SIM
